age,gender,weight_kg,height_cm,bmi,activity_level,fitness_level,goal,personality,location,hours_available_per_week,monthly_budget_usd,health_issue,prefers_team_sport,prefers_outdoor,prefers_contact_sport,risk_tolerance,competitive_level,coordination_level,striking_preference,grappling_preference,speed_agility,endurance_level,preferred_distance,recommended_sport,sport_difficulty,sport_type,sport_environment,sport_budget_level,calories_burned_per_hour,user_id,user_rating,clicked,practiced
46,Female,48.1,156.3,19.7,Sedentary,Advanced,Have Fun,Ambivert,Suburban,1.3,36.0,Knee Pain,0,0,1,1,3,0,1,1,1,0,3,Chess,Low,Individual,Indoor,Low,100,U00000,3.8,1,1
56,Male,104.9,177.2,33.4,Lightly Active,Advanced,Reduce Stress,Extrovert,Rural,4.1,19.0,Asthma,0,0,1,0,5,0,0,0,0,0,5,Chess,Low,Individual,Indoor,Low,100,U00001,4.2,1,1
25,Female,71.2,163.6,26.6,Lightly Active,Beginner,Reduce Stress,Ambivert,Rural,4.0,42.0,Back Pain,0,0,1,0,4,1,1,1,1,1,4,Chess,Low,Individual,Indoor,Low,100,U00002,3.9,1,1
36,Male,130.0,179.7,40.3,Lightly Active,Intermediate,Reduce Stress,Extrovert,Suburban,4.6,16.0,Asthma,0,0,0,1,3,0,1,0,0,1,3,Chess,Low,Individual,Indoor,Low,100,U00003,3.8,0,0
67,Female,95.4,156.2,39.1,Sedentary,Beginner,Social / Meet People,Introvert,Urban,2.0,0.0,Back Pain,0,0,0,0,5,2,0,0,0,1,5,Chess,Low,Individual,Indoor,Low,100,U00004,4.0,1,0
65,Male,130.0,175.9,42.4,Sedentary,Intermediate,Have Fun,Ambivert,Rural,4.3,33.0,Asthma,0,0,1,1,5,2,0,0,0,2,4,Chess,Low,Individual,Indoor,Low,100,U00005,3.8,1,1
10,Male,44.9,140.7,22.7,Sedentary,Beginner,Social / Meet People,Ambivert,Suburban,1.1,5.0,None,0,0,1,0,4,0,0,0,0,2,5,Chess,Low,Individual,Indoor,Low,100,U00006,3.6,0,1
36,Female,121.8,167.7,43.3,Sedentary,Advanced,Social / Meet People,Extrovert,Suburban,4.1,15.0,Heart Condition,0,0,1,1,4,1,0,1,1,2,3,Chess,Low,Individual,Indoor,Low,100,U00007,4.6,0,1
46,Female,72.5,161.5,27.8,Lightly Active,Beginner,Have Fun,Ambivert,Rural,1.8,27.0,Heart Condition,0,0,0,0,4,2,0,1,0,0,4,Chess,Low,Individual,Indoor,Low,100,U00008,4.0,1,0
56,Female,113.5,160.8,43.9,Lightly Active,Advanced,Reduce Stress,Ambivert,Urban,1.7,50.0,Back Pain,0,0,0,1,4,1,0,0,0,0,5,Chess,Low,Individual,Indoor,Low,100,U00009,4.4,1,0
69,Female,69.2,148.0,31.6,Sedentary,Advanced,Social / Meet People,Ambivert,Urban,4.6,18.0,Asthma,0,0,1,1,4,2,0,1,0,0,5,Chess,Low,Individual,Indoor,Low,100,U00010,4.8,1,1
13,Female,44.0,164.8,16.2,Lightly Active,Advanced,Social / Meet People,Extrovert,Rural,5.0,17.0,Asthma,0,0,0,0,5,1,1,0,2,0,3,Chess,Low,Individual,Indoor,Low,100,U00011,3.6,1,0
57,Male,77.5,188.1,21.9,Lightly Active,Intermediate,Have Fun,Introvert,Suburban,6.0,48.0,Heart Condition,0,0,0,1,5,2,0,0,2,2,5,Chess,Low,Individual,Indoor,Low,100,U00012,4.2,1,1
27,Female,74.1,165.4,27.1,Sedentary,Advanced,Have Fun,Extrovert,Suburban,1.0,5.0,Back Pain,0,0,0,0,4,1,1,1,1,2,3,Chess,Low,Individual,Indoor,Low,100,U00013,4.1,1,1
48,Female,61.3,157.2,24.8,Lightly Active,Advanced,Social / Meet People,Introvert,Urban,3.7,25.0,Heart Condition,0,0,0,1,5,2,1,0,1,0,5,Chess,Low,Individual,Indoor,Low,100,U00014,3.6,1,1
40,Male,71.4,180.5,21.9,Lightly Active,Advanced,Social / Meet People,Introvert,Urban,6.0,23.0,Heart Condition,0,0,1,0,3,0,1,0,0,1,3,Chess,Low,Individual,Indoor,Low,100,U00015,4.2,1,1
38,Male,65.5,168.4,23.1,Sedentary,Intermediate,Have Fun,Extrovert,Rural,5.2,47.0,Knee Pain,0,0,1,0,4,2,1,0,2,1,4,Chess,Low,Individual,Indoor,Low,100,U00016,3.6,1,1
33,Male,118.1,170.8,40.5,Sedentary,Advanced,Reduce Stress,Ambivert,Urban,2.5,21.0,Knee Pain,0,0,0,1,3,1,0,0,0,0,4,Chess,Low,Individual,Indoor,Low,100,U00017,4.0,1,1
23,Female,68.3,161.1,26.3,Lightly Active,Advanced,Social / Meet People,Extrovert,Rural,3.3,27.0,Heart Condition,0,0,1,1,4,1,0,1,1,1,5,Chess,Low,Individual,Indoor,Low,100,U00018,3.9,1,1
